px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3299	23.989	3.7654	0.243675	0.015685	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.43804
66.2135	23.9533	2.62402	0.255034	-0.0238554	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.17443
68.2629	24.3588	2.52976	0.213162	-0.0353001	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.00331297
68.3504	24.3904	2.66567	0.220765	-0.0305843	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98775
70.8222	24.8824	3.18517	0.2173	-0.0131216	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0883601
70.7784	24.8649	2.48978	0.208868	-0.045085	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.693395
72.8916	24.7195	2.48399	-0.144439	-0.237934	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.124655
72.941	24.7363	2.51915	-0.143994	-0.24521	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.680467
74.9998	25.2459	2.24716	0.332694	0.201452	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.753417
74.9841	25.2435	2.16615	0.330563	0.201596	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0442746
77.1144	24.9481	2.30942	-0.37168	-0.359157	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.04517
77.1372	24.953	2.24123	-0.399635	-0.397312	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.18654
79.0985	25.016	1.89651	0.082974	0.162639	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.43249
79.1085	25.0194	1.90484	0.0869757	0.16473	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0286219
80.8056	24.8753	2.06833	-0.0344098	-0.0118694	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.109752
80.8484	24.8818	1.79927	-0.0754237	-0.0867733	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.22161
82.6149	24.6375	2.39391	-0.103865	-0.0499512	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.103251
82.5667	24.6189	1.97672	-0.210584	-0.234665	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.769003
84.1699	24.5411	1.97491	-0.0144675	0.0236603	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.260718
84.16	24.5449	1.79185	-0.0367296	-0.0263493	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.212469
85.6385	23.8191	1.86274	-0.527861	-0.307475	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.276188
85.6968	23.8348	1.96893	-0.510468	-0.295824	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.840797
86.9419	23.5115	1.22077	-0.284413	0.014242	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.596831
87.0639	23.5448	1.37054	-0.224778	0.0478839	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.80382
88.8106	22.7952	2.69545	-0.443118	-0.113766	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.529919
88.7174	22.7501	2.38864	-0.696639	-0.436993	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.59173
89.5045	22.286	0.222651	-0.723251	-0.207998	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.42773
89.6231	22.2438	0.914834	-0.701703	-0.160094	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	3.61016
90.4953	21.6568	1.49695	-0.478332	0.0800695	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.317571
90.5656	21.6734	1.5231	-0.422998	0.0820415	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.8004
91.7141	21.1126	1.69307	-0.224398	0.1466	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0318933
91.7409	21.13	1.44184	-0.38598	-0.0758388	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.66266
92.8546	20.9428	1.42597	-0.0634735	0.159245	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.216821
92.901	20.969	1.16048	-0.0216575	0.128132	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.80175
93.4771	20.2464	0.40915	-0.749844	-0.376342	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.1109
93.5858	20.2865	1.01069	-0.587425	-0.174421	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	2.34471
95.2859	19.6419	2.93654	0.0849312	0.310386	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	1.89955
95.0334	19.6522	1.54637	-0.0334775	0.139486	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	10.4301
95.5153	19.6982	0.457873	0.196553	0.188487	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.32916
95.5463	19.7014	0.764923	0.18526	0.185625	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.233706
96.2529	19.2194	0.75717	-0.853121	-0.518086	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.91508
96.3096	19.2571	1.05644	-0.63801	-0.306967	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.876734
97.5012	18.7105	2.04464	-0.243337	0.0823619	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0.993197
97.4054	18.7099	1.59781	-0.451224	-0.233095	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	1.76656
98.2123	18.3657	1.00225	-0.36634	-0.0589229	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.18213
98.237	18.373	0.990328	-0.367826	-0.0733993	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.259717
99.042	17.3828	1.50324	-1.13825	-0.478107	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.677796
99.0536	17.4274	1.48087	-0.765355	-0.0417984	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.906915
99.9798	16.9648	0.953093	-0.415555	0.1935	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.619883
100.063	16.9778	1.03294	-0.352714	0.229081	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.84169
101.196	16.5372	1.73429	-0.134845	0.221477	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.129347
101.141	16.5261	1.3383	-0.278715	0.0533193	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.800266
102.379	16.3914	1.79198	0.0953746	0.23265	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.180653
102.269	16.3836	1.2262	0.084675	0.213379	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.93439
103.008	15.3993	0.53502	-1.10807	-0.601186	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.4379
102.991	15.4611	1.22564	-0.647755	-0.0530331	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	4.68217
104.094	15.2496	1.4456	0.0651659	0.390506	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0.863508
104.041	15.2441	1.31434	0.0258847	0.367231	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.620493
105.534	14.4746	1.89586	-0.768507	-0.305564	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.56361
105.482	14.4726	1.85949	-0.731782	-0.257557	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.73476
106.815	14.0284	1.37189	-0.30291	0.165671	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.08936
106.773	14.0053	1.52483	-0.302062	0.207017	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.36154
108.08	13.6592	1.76759	-0.0497947	0.234728	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.019867
108.081	13.6603	1.67757	-0.0581089	0.218911	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0680472
109.532	13.573	1.88138	0.0822267	0.172269	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0184824
109.485	13.5665	1.61808	0.0680871	0.159983	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.427586
111.059	12.6112	1.86346	-0.922069	-0.526462	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.5888
111.149	12.6552	2.37714	-0.679244	-0.207729	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.08539
112.9	12.4661	1.41206	-0.0896924	0.288288	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.61781
112.916	12.4436	1.76317	-0.0745267	0.311419	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.545266
114.792	12.5471	2.5357	0.31209	0.357224	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.187459
114.79	12.5545	2.11612	0.335636	0.407904	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.485847
116.68	12.1236	1.86568	-0.295799	-0.217551	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	1.37684
116.728	12.1409	2.24207	-0.201126	-0.110929	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.531484
118.944	11.9937	2.84702	0.0370795	0.110925	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.301246
118.907	11.997	2.37894	0.0605271	0.114856	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.504211
120.697	12.2904	2.17913	0.259996	0.167743	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0210846
120.743	12.2946	2.29944	0.259348	0.165396	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.458424
123.55	12.8316	3.87114	0.0984032	-0.0393599	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0.90134
123.436	12.8117	2.7353	0.0283761	-0.0896117	123.142	12.7694	122.95	12.5114	2.29835	0.246599	3.00275
124.905	12.7741	1.70205	-0.0655429	-0.0916535	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.369453
125.017	12.7864	2.62442	-0.0540515	-0.0662083	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.70616
127.841	13.318	3.60856	0.405701	0.264642	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.689434
127.76	13.3193	2.99475	0.475778	0.367233	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.42531
129.947	13.7088	2.22493	0.219406	-0.0270916	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.684416
130.032	13.7221	2.50306	0.21105	-0.0378817	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.42859
132.091	14.5028	2.66708	0.383716	0.0951176	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0655546
132.159	14.5094	2.83533	0.373342	0.0827231	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.01365
135.06	15.0508	3.82648	0.0215666	-0.191078	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0.591745
135.032	15.0308	3.0087	-0.0676306	-0.296345	135.127	14.6575	135.066	15.2513	2.58865	0.863795	1.31089
137.561	16.1978	2.78799	0.607082	0.320154	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.3004
137.593	16.1943	3.22303	0.538847	0.230134	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.316366
140.324	17.0155	3.19454	0.21484	-0.132107	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.526955
140.325	17.012	3.07344	0.216389	-0.124627	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0819477
142.888	17.9871	3.25618	0.372094	0.0542481	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.114434
142.839	17.9818	3.09803	0.381326	0.0666161	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.524592
145.388	19.1609	3.4909	0.416146	0.0458567	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0483922
145.457	19.1714	3.29993	0.437014	0.107301	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.82439
148.244	20.4748	3.88679	0.407015	0.0193241	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.140074
148.209	20.4698	3.28617	0.48721	0.171545	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.785041
150.682	22.1129	3.67839	0.622819	0.147981	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0482991
150.664	22.1104	3.59223	0.641643	0.180414	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.066136
153.417	23.4959	3.47091	0.402692	-0.0851314	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.320672
153.394	23.4851	3.17741	0.456792	-0.00378264	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.250057
156.041	24.8074	3.64037	0.410004	-0.0315395	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0689914
156.019	24.805	3.06848	0.461506	0.0767831	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.583022
158.893	26.03	4.0299	0.322232	-0.0623338	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.365082
158.892	26.0262	3.43858	0.358216	0.0262042	159.014	26.1903	158.827	26.1372	2.66127	1.36157	1.01825
161.413	27.4238	3.44834	0.523909	0.114569	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.0266663
161.439	27.4312	3.1596	0.55047	0.17524	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.455105
163.624	28.771	3.05237	0.534986	0.0539685	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.0541996
163.732	28.7896	3.1625	0.528991	0.0644991	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.01321
166.812	30.2043	4.42319	0.31641	-0.113431	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0.624315
166.729	30.1772	3.39183	0.399826	0.0521793	166.748	29.7121	166.809	30.0721	2.63006	1.22694	2.70444
169.1	31.3723	3.16109	0.468252	0.0627462	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0183883
169.12	31.3759	3.08044	0.470334	0.0739604	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.163034
172.161	32.3413	4.11238	0.157459	-0.173912	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.583574
172.132	32.3202	3.24946	0.116326	-0.219425	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.53008
174.646	33.453	3.09137	0.495681	0.160788	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.493811
174.627	33.4515	2.91374	0.511391	0.181583	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.0854875
177.024	34.2073	2.94094	0.235031	-0.114356	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.32009
177.035	34.2038	2.7205	0.219379	-0.120955	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.261955
180.132	35.1365	4.0917	0.31416	0.0154329	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0.682966
180.008	35.1201	2.88942	0.378621	0.106159	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.49194
182.593	35.7566	3.27975	0.158821	-0.100215	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.199888
182.497	35.7347	2.67925	0.140884	-0.118195	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.976
184.731	36.5082	2.81595	0.400434	0.121035	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.195948
184.729	36.511	2.45012	0.432137	0.161214	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.150132
186.938	36.948	2.73918	0.087319	-0.159137	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.390881
186.998	36.9556	2.62467	0.0454644	-0.196987	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.17117
189.46	37.398	3.08052	0.222533	0.0389647	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.254727
189.479	37.4063	2.46846	0.276207	0.0812577	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.799443
191.731	37.5696	2.71773	-0.0164527	-0.154369	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.205385
191.698	37.5591	2.35109	-0.0423339	-0.190244	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.285355
193.473	37.2782	2.14697	-0.20032	-0.170346	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0131101
193.498	37.2835	2.25908	-0.191233	-0.153134	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.117272
195.976	37.3894	3.31975	0.232324	0.204029	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	0.849779
195.826	37.3967	2.30457	0.290344	0.28046	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	4.19241
197.722	37.7354	2.35052	0.215801	0.061387	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.159571
197.674	37.7248	2.03967	0.20211	0.0534522	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.495223
199.293	37.3015	1.78019	-0.394062	-0.34917	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.570074
199.311	37.3084	1.94009	-0.367195	-0.312031	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0767044
201.529	36.9859	3.02217	-0.00186824	0.111082	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	1.12655
201.355	36.9904	2.13372	-0.12166	-0.078113	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	4.88789
202.964	36.4593	2.07308	-0.325707	-0.154368	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0213389
202.914	36.4471	1.72478	-0.382178	-0.254354	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.489111
203.991	36.1857	1.19002	-0.229813	-0.00939845	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.280534
203.999	36.1694	1.5004	-0.175166	0.0794425	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.853601
